timestamp,profile,palette_size,frame_index,push_latency_s,error
2026-05-28T01:48:05.360,solid,1,0,0.0001,
2026-05-28T01:48:05.361,solid,1,1,0.0001,
2026-05-28T01:48:05.361,solid,1,2,0.0001,
2026-05-28T01:48:05.361,solid,1,3,0.0001,
2026-05-28T01:48:05.361,solid,1,4,0.0001,
2026-05-28T01:48:05.361,solid,1,5,0.0001,
2026-05-28T01:48:05.361,solid,1,6,0.0001,
2026-05-28T01:48:05.361,solid,1,7,0.0001,
2026-05-28T01:48:05.362,tiny,4,0,0.0001,
2026-05-28T01:48:05.362,tiny,4,1,0.0001,
2026-05-28T01:48:05.362,tiny,4,2,0.0001,
2026-05-28T01:48:05.362,tiny,4,3,0.0001,
2026-05-28T01:48:05.362,tiny,4,4,0.0001,
2026-05-28T01:48:05.362,tiny,4,5,0.0001,
2026-05-28T01:48:05.363,tiny,4,6,0.0001,
2026-05-28T01:48:05.363,tiny,4,7,0.0001,
2026-05-28T01:48:05.363,medium,16,0,0.0003,
2026-05-28T01:48:05.363,medium,16,1,0.0002,
2026-05-28T01:48:05.364,medium,16,2,0.0002,
2026-05-28T01:48:05.364,medium,16,3,0.0001,
2026-05-28T01:48:05.364,medium,16,4,0.0001,
2026-05-28T01:48:05.364,medium,16,5,0.0002,
2026-05-28T01:48:05.364,medium,16,6,0.0001,
2026-05-28T01:48:05.365,medium,16,7,0.0001,
2026-05-28T01:48:05.365,rich,64,0,0.0002,
2026-05-28T01:48:05.365,rich,64,1,0.0002,
2026-05-28T01:48:05.366,rich,64,2,0.0002,
2026-05-28T01:48:05.366,rich,64,3,0.0002,
2026-05-28T01:48:05.366,rich,64,4,0.0002,
2026-05-28T01:48:05.367,rich,64,5,0.0002,
2026-05-28T01:48:05.367,rich,64,6,0.0002,
2026-05-28T01:48:05.367,rich,64,7,0.0002,
2026-05-28T01:48:05.368,noise,256,0,0.0003,
2026-05-28T01:48:05.368,noise,256,1,0.0004,
2026-05-28T01:48:05.369,noise,256,2,0.0003,
2026-05-28T01:48:05.370,noise,256,3,0.0003,
2026-05-28T01:48:05.370,noise,256,4,0.0003,
2026-05-28T01:48:05.371,noise,256,5,0.0003,
2026-05-28T01:48:05.371,noise,256,6,0.0003,
2026-05-28T01:48:05.372,noise,256,7,0.0003,
